city,month_year,sunny_days,cloudy_days,rainy_days,snowy_days
Berlin,2023-04-30,2,1,10,0
Berlin,2023-05-31,5,20,6,0
Berlin,2023-06-30,3,12,15,0
Berlin,2023-07-31,3,9,19,0
Berlin,2023-08-31,2,9,20,0
Berlin,2023-09-30,10,15,5,0
Berlin,2023-10-31,1,6,24,0
Berlin,2023-11-30,0,6,19,5
Berlin,2023-12-31,0,7,21,3
Berlin,2024-01-31,4,6,13,8
Berlin,2024-02-29,1,4,23,1
Berlin,2024-03-31,2,9,20,0
Berlin,2024-04-30,0,5,11,0
Paris,2023-04-30,0,4,9,0
Paris,2023-05-31,4,14,13,0
Paris,2023-06-30,10,9,11,0
Paris,2023-07-31,2,8,21,0
Paris,2023-08-31,3,10,18,0
Paris,2023-09-30,10,13,7,0
Paris,2023-10-31,5,10,16,0
Paris,2023-11-30,0,2,28,0
Paris,2023-12-31,2,6,23,0
Paris,2024-01-31,2,10,17,2
Paris,2024-02-29,1,9,19,0
Paris,2024-03-31,0,7,24,0
Paris,2024-04-30,1,4,11,0
Prague,2023-04-30,0,3,10,0
Prague,2023-05-31,4,16,11,0
Prague,2023-06-30,1,13,16,0
Prague,2023-07-31,2,8,21,0
Prague,2023-08-31,2,9,20,0
Prague,2023-09-30,15,9,6,0
Prague,2023-10-31,3,11,17,0
Prague,2023-11-30,1,7,15,7
Prague,2023-12-31,0,8,19,4
Prague,2024-01-31,6,8,11,6
Prague,2024-02-29,1,9,17,2
Prague,2024-03-31,1,8,22,0
Prague,2024-04-30,2,4,10,0
Rome,2023-04-30,3,3,7,0
Rome,2023-05-31,2,5,24,0
Rome,2023-06-30,10,4,16,0
Rome,2023-07-31,19,9,3,0
Rome,2023-08-31,18,5,8,0
Rome,2023-09-30,16,7,7,0
Rome,2023-10-31,13,2,16,0
Rome,2023-11-30,6,1,23,0
Rome,2023-12-31,8,8,15,0
Rome,2024-01-31,5,7,19,0
Rome,2024-02-29,5,9,15,0
Rome,2024-03-31,1,7,23,0
Rome,2024-04-30,5,8,3,0
Warsaw,2023-04-30,1,4,8,0
Warsaw,2023-05-31,2,18,11,0
Warsaw,2023-06-30,2,10,18,0
Warsaw,2023-07-31,1,12,18,0
Warsaw,2023-08-31,2,9,20,0
Warsaw,2023-09-30,14,12,4,0
Warsaw,2023-10-31,2,8,21,0
Warsaw,2023-11-30,1,6,18,5
Warsaw,2023-12-31,0,6,16,9
Warsaw,2024-01-31,1,6,12,12
Warsaw,2024-02-29,0,3,23,3
Warsaw,2024-03-31,3,14,12,2
Warsaw,2024-04-30,3,3,10,0
